,date,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_storeConfirm,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input,name
25,2020-02-14,54406,0,4774,1457,,0,48175.0,2420,0.0,643,139,,0,0.0,湖北
26,2020-02-15,56249,0,5623,1596,,0,49030.0,1843,0.0,849,139,,0,0.0,湖北
27,2020-02-16,58182,0,6639,1696,,0,49847.0,1933,0.0,1016,100,,0,0.0,湖北
28,2020-02-17,59989,0,7862,1789,,0,50338.0,1807,0.0,1223,93,,0,0.0,湖北
29,2020-02-18,61682,0,9128,1921,,0,50633.0,1693,0.0,1266,132,,0,0.0,湖北
30,2020-02-19,62457,0,10337,2029,,0,50091.0,775,0.0,1209,108,,0,0.0,湖北
31,2020-02-20,63088,0,11788,2144,,0,49156.0,631,0.0,1451,115,,0,0.0,湖北
32,2020-02-21,63454,0,13557,2250,,0,47647.0,366,0.0,1769,106,,0,0.0,湖北
33,2020-02-22,64084,0,15299,2346,,0,46439.0,630,0.0,1742,96,,0,0.0,湖北
34,2020-02-23,64287,0,16738,2495,,0,45054.0,398,0.0,1439,149,,0,0.0,湖北
35,2020-02-24,64786,0,18854,2563,,0,43369.0,499,0.0,2116,68,,0,0.0,湖北
36,2020-02-25,65187,0,20912,2615,,0,41660.0,401,0.0,2058,52,,0,0.0,湖北
37,2020-02-26,65596,0,23200,2641,,0,39755.0,409,0.0,2288,26,,0,0.0,湖北
38,2020-02-27,65914,0,26403,2682,,0,36829.0,318,0.0,3203,41,,0,0.0,湖北
39,2020-02-28,66337,0,28895,2727,,0,34715.0,423,0.0,2492,45,,0,0.0,湖北
40,2020-02-29,66907,0,31187,2761,,0,32959.0,570,0.0,2292,34,,0,0.0,湖北
41,2020-03-01,67103,0,33757,2803,,0,30543.0,196,0.0,2570,42,,0,0.0,湖北
42,2020-03-02,67217,0,36167,2834,,0,28216.0,114,0.0,2410,31,,0,0.0,湖北
43,2020-03-03,67332,0,38556,2871,,0,25905.0,115,0.0,2389,37,,0,0.0,湖北
44,2020-03-04,67466,0,40479,2902,,0,24085.0,134,0.0,1923,31,,0,0.0,湖北
45,2020-03-05,67592,0,41966,2931,,0,22695.0,126,0.0,1487,29,,0,0.0,湖北
46,2020-03-06,67666,0,43468,2959,,0,21239.0,74,0.0,1502,28,,0,0.0,湖北
47,2020-03-07,67707,0,45011,2986,,0,19710.0,41,0.0,1543,27,,0,0.0,湖北
48,2020-03-08,67743,0,46433,3007,,0,18303.0,36,0.0,1422,21,,0,0.0,湖北
49,2020-03-09,67760,0,47585,3024,,0,17151.0,17,0.0,1152,17,,0,0.0,湖北
50,2020-03-10,67773,0,49056,3046,,0,15671.0,13,0.0,1471,22,,0,0.0,湖北
51,2020-03-11,67781,0,50298,3056,,0,14427.0,8,0.0,1242,10,,0,0.0,湖北
52,2020-03-12,67786,0,51553,3062,,0,13171.0,5,0.0,1255,6,,0,0.0,湖北
53,2020-03-13,67790,0,52943,3075,,0,11772.0,4,0.0,1390,13,,0,0.0,湖北
54,2020-03-14,67794,0,54278,3085,,0,10431.0,4,0.0,1335,10,,0,0.0,湖北
55,2020-03-15,67798,0,55094,3099,,0,9605.0,4,0.0,816,14,,0,0.0,湖北
56,2020-03-16,67798,0,55987,3111,,0,8700.0,4,0.0,893,12,,0,0.0,湖北
57,2020-03-17,67800,0,56883,3122,,0,7795.0,1,0.0,896,11,,0,0.0,湖北
58,2020-03-18,67800,0,57678,3130,,0,6992.0,0,0.0,795,8,,0,0.0,湖北
59,2020-03-19,67800,0,58381,3132,,0,6287.0,0,0.0,703,2,,0,0.0,湖北
60,2020-03-20,67800,0,58942,3139,,0,5719.0,0,0.0,561,7,,0,0.0,湖北
61,2020-03-21,67800,0,59432,3144,,0,5224.0,0,0.0,490,5,,0,0.0,湖北
62,2020-03-22,67800,0,59879,3153,,0,4768.0,0,0.0,447,9,,0,0.0,湖北
63,2020-03-23,67801,0,60323,3160,,0,4318.0,1,0.0,444,7,,0,0.0,湖北
64,2020-03-24,67801,0,60810,3163,,0,3828.0,0,0.0,487,3,,0,0.0,湖北
65,2020-03-25,67801,0,61201,3169,,0,3431.0,0,0.0,391,6,,0,0.0,湖北
66,2020-03-26,67801,0,61731,3174,,0,2896.0,0,0.0,530,5,,0,0.0,湖北
67,2020-03-27,67801,0,62098,3177,,0,2526.0,0,0.0,367,3,,0,0.0,湖北
68,2020-03-28,67801,0,62565,3177,,0,2059.0,0,0.0,467,0,,0,0.0,湖北
69,2020-03-29,67801,0,62882,3186,,0,1733.0,0,0.0,317,9,,0,0.0,湖北
70,2020-03-30,67801,0,63153,3187,,0,1461.0,0,0.0,271,1,,0,0.0,湖北
71,2020-03-31,67802,0,63326,3193,,0,1283.0,1,0.0,173,6,,0,0.0,湖北
72,2020-04-01,67802,0,63471,3199,,0,1132.0,0,0.0,145,6,,0,0.0,湖北
73,2020-04-02,67802,0,63612,3203,,0,987.0,0,0.0,141,4,,0,0.0,湖北
74,2020-04-03,67803,0,63762,3207,,0,834.0,1,0.0,150,4,,0,0.0,湖北
75,2020-04-04,67803,0,63945,3210,,0,648.0,0,0.0,183,3,,0,0.0,湖北
76,2020-04-05,67803,0,64014,3212,,0,577.0,0,0.0,69,2,,0,0.0,湖北
77,2020-04-06,67803,0,64073,3212,,0,518.0,0,0.0,59,0,,0,0.0,湖北
78,2020-04-07,67803,0,64142,3213,,0,448.0,0,0.0,69,1,,0,0.0,湖北
79,2020-04-08,67803,0,64187,3215,,0,401.0,0,0.0,45,2,,0,0.0,湖北
80,2020-04-09,67803,0,64236,3216,,0,351.0,0,0.0,49,1,,0,0.0,湖北
81,2020-04-10,67803,0,64264,3219,,0,320.0,0,0.0,28,3,,0,0.0,湖北
82,2020-04-11,67803,0,64281,3219,,0,303.0,0,0.0,17,0,,0,0.0,湖北
83,2020-04-12,67803,0,64338,3221,,0,244.0,0,0.0,57,2,,0,0.0,湖北
84,2020-04-13,67803,0,64363,3221,,0,219.0,0,0.0,25,0,,0,0.0,湖北
85,2020-04-14,67803,0,64402,3222,,0,179.0,0,0.0,39,1,,0,0.0,湖北
86,2020-04-15,67803,0,64435,3222,,0,146.0,0,0.0,33,0,,0,0.0,湖北
87,2020-04-16,68128,0,63487,4512,,0,129.0,0,0.0,17,0,,0,0.0,湖北
88,2020-04-17,68128,0,63494,4512,,0,122.0,0,0.0,7,0,,0,0.0,湖北
89,2020-04-18,68128,0,63507,4512,,0,109.0,0,0.0,13,0,,0,0.0,湖北
90,2020-04-19,68128,0,63511,4512,,0,105.0,0,0.0,4,0,,0,0.0,湖北
91,2020-04-20,68128,0,63511,4512,,0,105.0,0,0.0,0,0,,0,0.0,湖北
92,2020-04-21,68128,0,63519,4512,,0,97.0,0,0.0,8,0,,0,0.0,湖北
93,2020-04-22,68128,0,63547,4512,,0,69.0,0,0.0,28,0,,0,0.0,湖北
94,2020-04-23,68128,0,63569,4512,,0,47.0,0,0.0,22,0,,0,0.0,湖北
95,2020-04-24,68128,0,63593,4512,,0,23.0,0,0.0,24,0,,0,0.0,湖北
96,2020-04-25,68128,0,63604,4512,,0,12.0,0,0.0,11,0,,0,0.0,湖北
97,2020-04-26,68128,0,63616,4512,,0,0.0,0,0.0,12,0,,0,0.0,湖北
98,2020-04-27,68128,0,63616,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
99,2020-04-28,68128,0,63616,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
100,2020-04-29,68128,0,63616,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
101,2020-04-30,68128,0,63616,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
102,2020-05-01,68128,0,63616,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
103,2020-05-02,68128,0,63616,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
104,2020-05-03,68128,0,63616,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
105,2020-05-04,68128,0,63616,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
106,2020-05-05,68128,0,63616,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
107,2020-05-06,68128,0,63616,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
108,2020-05-07,68128,0,63616,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
109,2020-05-08,68128,0,63616,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
110,2020-05-09,68129,0,63616,4512,,0,1.0,1,0.0,0,0,,0,0.0,湖北
111,2020-05-10,68134,0,63616,4512,,0,6.0,5,0.0,0,0,,0,0.0,湖北
112,2020-05-11,68134,0,63616,4512,,0,6.0,0,0.0,0,0,,0,0.0,湖北
113,2020-05-12,68134,0,63616,4512,,0,6.0,0,0.0,0,0,,0,0.0,湖北
114,2020-05-13,68134,0,63616,4512,,0,6.0,0,0.0,0,0,,0,0.0,湖北
115,2020-05-14,68134,0,63616,4512,,0,6.0,0,0.0,0,0,,0,0.0,湖北
116,2020-05-15,68134,0,63616,4512,,0,6.0,0,0.0,0,0,,0,0.0,湖北
117,2020-05-16,68134,0,63616,4512,,0,6.0,0,0.0,0,0,,0,0.0,湖北
118,2020-05-17,68134,0,63616,4512,,0,6.0,0,0.0,0,0,,0,0.0,湖北
119,2020-05-18,68135,0,63616,4512,,0,7.0,1,0.0,0,0,,0,0.0,湖北
120,2020-05-19,68135,0,63616,4512,,0,7.0,0,0.0,0,0,,0,0.0,湖北
121,2020-05-20,68135,0,63616,4512,,0,7.0,0,0.0,0,0,,0,0.0,湖北
122,2020-05-21,68135,0,63616,4512,,0,7.0,0,0.0,0,0,,0,0.0,湖北
123,2020-05-22,68135,0,63616,4512,,0,7.0,0,0.0,0,0,,0,0.0,湖北
124,2020-05-23,68135,0,63616,4512,,0,7.0,0,0.0,0,0,,0,0.0,湖北
125,2020-05-24,68135,0,63617,4512,,0,6.0,0,0.0,1,0,,0,0.0,湖北
126,2020-05-25,68135,0,63617,4512,,0,6.0,0,0.0,0,0,,0,0.0,湖北
127,2020-05-26,68135,0,63618,4512,,0,5.0,0,0.0,1,0,,0,0.0,湖北
128,2020-05-27,68135,0,63618,4512,,0,5.0,0,0.0,0,0,,0,0.0,湖北
129,2020-05-28,68135,0,63618,4512,,0,5.0,0,0.0,0,0,,0,0.0,湖北
130,2020-05-29,68135,0,63619,4512,,0,4.0,0,0.0,1,0,,0,0.0,湖北
131,2020-05-30,68135,0,63619,4512,,0,4.0,0,0.0,0,0,,0,0.0,湖北
132,2020-05-31,68135,0,63620,4512,,0,3.0,0,0.0,1,0,,0,0.0,湖北
133,2020-06-01,68135,0,63620,4512,,0,3.0,0,0.0,0,0,,0,0.0,湖北
134,2020-06-02,68135,0,63620,4512,,0,3.0,0,0.0,0,0,,0,0.0,湖北
135,2020-06-03,68135,0,63620,4512,,0,3.0,0,0.0,0,0,,0,0.0,湖北
136,2020-06-04,68135,0,63623,4512,,0,0.0,0,0.0,3,0,,0,0.0,湖北
137,2020-06-05,68135,0,63623,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
138,2020-06-06,68135,0,63623,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
139,2020-06-07,68135,0,63623,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
140,2020-06-08,68135,0,63623,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
141,2020-06-09,68135,0,63623,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
142,2020-06-10,68135,0,63623,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
143,2020-06-11,68135,0,63623,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
144,2020-06-12,68135,0,63623,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
145,2020-06-13,68135,0,63623,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
146,2020-06-14,68135,0,63623,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
147,2020-06-15,68135,0,63623,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
148,2020-06-16,68135,0,63623,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
149,2020-06-17,68135,0,63623,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
150,2020-06-18,68135,0,63623,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
151,2020-06-19,68135,0,63623,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
152,2020-06-20,68135,0,63623,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
153,2020-06-21,68135,0,63623,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
154,2020-06-22,68135,0,63623,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
155,2020-06-23,68135,0,63623,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
156,2020-06-24,68135,0,63623,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
157,2020-06-25,68135,0,63623,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
158,2020-06-26,68135,0,63623,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
159,2020-06-27,68135,0,63623,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
160,2020-06-28,68135,0,63623,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
161,2020-06-29,68135,0,63623,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
162,2020-06-30,68135,0,63623,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
163,2020-07-01,68135,0,63623,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
164,2020-07-02,68135,0,63623,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
165,2020-07-03,68135,0,63623,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
166,2020-07-04,68135,0,63623,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
167,2020-07-05,68135,0,63623,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
168,2020-07-06,68135,0,63623,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
169,2020-07-07,68135,0,63623,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
170,2020-07-08,68135,0,63623,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
171,2020-07-09,68135,0,63623,4512,,0,0.0,0,0.0,0,0,,0,0.0,湖北
0,2020-01-21,26,0,0,0,,0,26.0,0,0.0,0,0,,0,0.0,广东
1,2020-01-22,32,0,0,0,,0,32.0,6,0.0,0,0,,0,0.0,广东
2,2020-01-23,53,0,2,0,,0,51.0,21,0.0,2,0,,0,0.0,广东
3,2020-01-24,78,0,2,0,,0,76.0,25,0.0,0,0,,0,0.0,广东
4,2020-01-26,146,0,2,0,,0,144.0,48,0.0,0,0,,0,0.0,广东
5,2020-01-27,188,0,4,0,,0,184.0,42,0.0,2,0,,0,0.0,广东
6,2020-01-28,241,0,5,0,,0,236.0,53,0.0,1,0,,0,0.0,广东
7,2020-01-29,311,0,6,0,,0,305.0,70,0.0,1,0,,0,0.0,广东
8,2020-01-30,393,0,9,0,,0,384.0,82,0.0,3,0,,0,0.0,广东
9,2020-01-31,520,0,9,0,,0,511.0,127,0.0,0,0,,0,0.0,广东
10,2020-02-01,604,0,12,0,,0,592.0,84,0.0,3,0,,0,0.0,广东
11,2020-02-02,683,0,14,0,,0,669.0,79,0.0,2,0,,0,0.0,广东
12,2020-02-03,797,0,20,0,,0,777.0,114,0.0,6,0,,0,0.0,广东
13,2020-02-04,870,0,32,0,,0,838.0,73,0.0,12,0,,0,0.0,广东
14,2020-02-05,944,0,49,0,,0,895.0,74,0.0,17,0,,0,0.0,广东
15,2020-02-06,1018,0,68,0,,0,950.0,74,0.0,19,0,,0,0.0,广东
16,2020-02-07,1075,0,97,1,,0,977.0,57,0.0,29,1,,0,0.0,广东
17,2020-02-08,1120,0,125,1,,0,994.0,45,0.0,28,0,,0,0.0,广东
18,2020-02-09,1151,0,143,1,,0,1007.0,31,0.0,18,0,,0,0.0,广东
19,2020-02-10,1177,0,181,1,,0,995.0,26,0.0,38,0,,0,0.0,广东
20,2020-02-11,1219,0,241,1,,0,977.0,42,0.0,60,0,,0,0.0,广东
21,2020-02-12,1241,0,284,1,,0,956.0,22,0.0,43,0,,0,0.0,广东
22,2020-02-13,1241,0,284,2,,0,955.0,22,0.0,0,1,,0,0.0,广东
23,2020-02-14,1294,0,386,2,,0,906.0,33,0.0,102,0,,0,0.0,广东
24,2020-02-15,1316,0,436,2,,0,878.0,22,0.0,50,0,,0,0.0,广东
25,2020-02-16,1322,0,473,4,,0,845.0,6,0.0,37,2,,0,0.0,广东
26,2020-02-17,1328,0,530,4,,0,794.0,6,0.0,57,0,,0,0.0,广东
27,2020-02-18,1331,0,571,5,,0,755.0,3,0.0,41,1,,0,0.0,广东
28,2020-02-19,1332,0,619,5,,0,708.0,1,0.0,48,0,,0,0.0,广东
29,2020-02-20,1333,0,664,5,,0,664.0,1,0.0,45,0,,0,0.0,广东
30,2020-02-21,1339,0,720,5,,0,614.0,6,0.0,56,0,,0,0.0,广东
31,2020-02-22,1342,0,740,6,,0,596.0,3,0.0,20,1,,0,0.0,广东
32,2020-02-23,1345,0,772,6,,0,567.0,3,0.0,32,0,,0,0.0,广东
33,2020-02-24,1347,0,805,7,,0,535.0,2,0.0,33,1,,0,0.0,广东
34,2020-02-25,1347,0,841,7,,0,499.0,0,0.0,36,0,,0,0.0,广东
35,2020-02-26,1347,0,873,7,,0,467.0,0,0.0,32,0,,0,0.0,广东
36,2020-02-27,1348,0,919,7,,0,422.0,1,0.0,46,0,,0,0.0,广东
37,2020-02-28,1349,0,972,7,,0,370.0,1,0.0,53,0,,0,0.0,广东
38,2020-02-29,1349,0,1009,7,,0,333.0,0,0.0,37,0,,0,0.0,广东
39,2020-03-01,1350,0,1034,7,,0,309.0,1,0.0,25,0,,0,0.0,广东
40,2020-03-02,1350,0,1081,7,,0,262.0,0,0.0,47,0,,0,0.0,广东
41,2020-03-03,1350,0,1129,7,,0,214.0,0,0.0,48,0,,0,0.0,广东
42,2020-03-04,1350,0,1159,7,,0,184.0,0,0.0,30,0,,0,0.0,广东
43,2020-03-05,1351,0,1181,7,,0,163.0,1,0.0,22,0,,0,0.0,广东
44,2020-03-06,1352,0,1233,7,,0,112.0,1,0.0,52,0,,0,0.0,广东
45,2020-03-07,1352,0,1250,7,,0,95.0,0,0.0,17,0,,0,0.0,广东
46,2020-03-08,1352,0,1260,8,,0,84.0,0,0.0,10,1,,0,0.0,广东
47,2020-03-09,1353,0,1270,8,,0,75.0,1,0.0,10,0,,0,0.0,广东
48,2020-03-10,1353,0,1282,8,,0,63.0,0,0.0,12,0,,0,0.0,广东
49,2020-03-11,1356,0,1288,8,,0,60.0,3,0.0,6,0,,0,0.0,广东
50,2020-03-12,1356,0,1296,8,,0,52.0,0,0.0,8,0,,0,0.0,广东
51,2020-03-13,1356,0,1299,8,,0,49.0,0,0.0,3,0,,0,0.0,广东
52,2020-03-14,1357,0,1299,8,,0,50.0,1,0.0,0,0,,0,0.0,广东
53,2020-03-15,1361,0,1306,8,,0,47.0,4,0.0,7,0,,0,0.0,广东
54,2020-03-16,1364,0,1307,8,,0,49.0,3,0.0,1,0,,0,0.0,广东
55,2020-03-17,1370,0,1312,8,,0,50.0,6,0.0,5,0,,0,0.0,广东
56,2020-03-18,1378,0,1318,8,,0,52.0,8,0.0,6,0,,0,0.0,广东
57,2020-03-19,1392,0,1322,8,,0,62.0,14,0.0,4,0,,0,0.0,广东
58,2020-03-20,1399,0,1325,8,,0,66.0,7,0.0,3,0,,0,0.0,广东
59,2020-03-21,1407,0,1329,8,,0,70.0,8,0.0,4,0,,0,0.0,广东
60,2020-03-22,1413,0,1332,8,,0,73.0,6,0.0,3,0,,0,0.0,广东
61,2020-03-23,1428,0,1333,8,,0,87.0,15,0.0,1,0,,0,0.0,广东
62,2020-03-24,1433,0,1334,8,,0,91.0,5,0.0,1,0,,0,0.0,广东
63,2020-03-25,1444,0,1336,8,,0,100.0,11,0.0,2,0,,0,0.0,广东
64,2020-03-26,1456,0,1337,8,,0,111.0,12,0.0,1,0,,0,0.0,广东
65,2020-03-27,1467,0,1341,8,,0,118.0,11,0.0,4,0,,0,0.0,广东
66,2020-03-28,1475,0,1349,8,,0,118.0,8,0.0,8,0,,0,0.0,广东
67,2020-03-29,1484,0,1351,8,,0,125.0,9,0.0,2,0,,0,0.0,广东
68,2020-03-30,1490,0,1353,8,,0,129.0,6,0.0,2,0,,0,0.0,广东
69,2020-03-31,1501,0,1357,8,,0,136.0,11,0.0,4,0,,0,0.0,广东
70,2020-04-01,1507,0,1365,8,,0,134.0,6,0.0,8,0,,0,0.0,广东
71,2020-04-02,1514,0,1368,8,,0,138.0,7,0.0,3,0,,0,0.0,广东
72,2020-04-03,1516,0,1378,8,,0,130.0,2,0.0,10,0,,0,0.0,广东
73,2020-04-04,1524,0,1387,8,,0,129.0,8,0.0,9,0,,0,0.0,广东
74,2020-04-05,1532,0,1395,8,,0,129.0,8,0.0,8,0,,0,0.0,广东
75,2020-04-06,1533,0,1401,8,,0,124.0,1,0.0,6,0,,0,0.0,广东
76,2020-04-07,1536,0,1411,8,,0,117.0,3,0.0,10,0,,0,0.0,广东
77,2020-04-08,1539,0,1423,8,,0,108.0,3,0.0,12,0,,0,0.0,广东
78,2020-04-09,1544,0,1434,8,,0,102.0,5,0.0,11,0,,0,0.0,广东
79,2020-04-10,1548,0,1437,8,,0,103.0,4,0.0,3,0,,0,0.0,广东
80,2020-04-11,1552,0,1443,8,,0,101.0,4,0.0,6,0,,0,0.0,广东
81,2020-04-12,1555,0,1454,8,,0,93.0,3,0.0,11,0,,0,0.0,广东
82,2020-04-13,1564,0,1458,8,,0,98.0,9,0.0,4,0,,0,0.0,广东
83,2020-04-14,1566,0,1462,8,,0,96.0,2,0.0,4,0,,0,0.0,广东
84,2020-04-15,1571,0,1471,8,,0,92.0,5,0.0,9,0,,0,0.0,广东
85,2020-04-16,1577,0,1475,8,,0,94.0,6,0.0,4,0,,0,0.0,广东
86,2020-04-17,1579,0,1482,8,,0,89.0,2,0.0,7,0,,0,0.0,广东
87,2020-04-18,1580,0,1490,8,,0,82.0,1,0.0,8,0,,0,0.0,广东
88,2020-04-19,1581,0,1494,8,,0,79.0,1,0.0,4,0,,0,0.0,广东
89,2020-04-20,1582,0,1501,8,,0,73.0,1,0.0,7,0,,0,0.0,广东
90,2020-04-21,1582,0,1511,8,,0,63.0,0,0.0,10,0,,0,0.0,广东
91,2020-04-22,1584,0,1518,8,,0,58.0,2,0.0,7,0,,0,0.0,广东
92,2020-04-23,1585,0,1528,8,,0,49.0,1,0.0,10,0,,0,0.0,广东
93,2020-04-24,1585,0,1534,8,,0,43.0,0,0.0,6,0,,0,0.0,广东
94,2020-04-25,1586,0,1542,8,,0,36.0,1,0.0,8,0,,0,0.0,广东
95,2020-04-26,1587,0,1542,8,,0,37.0,1,0.0,0,0,,0,0.0,广东
96,2020-04-27,1587,0,1547,8,,0,32.0,0,0.0,5,0,,0,0.0,广东
97,2020-04-28,1588,0,1554,8,,0,26.0,1,0.0,7,0,,0,0.0,广东
98,2020-04-29,1588,0,1557,8,,0,23.0,0,0.0,3,0,,0,0.0,广东
99,2020-04-30,1588,0,1565,8,,0,15.0,0,0.0,8,0,,0,0.0,广东
100,2020-05-01,1588,0,1567,8,,0,13.0,0,0.0,2,0,,0,0.0,广东
101,2020-05-02,1588,0,1567,8,,0,13.0,0,0.0,0,0,,0,0.0,广东
102,2020-05-03,1588,0,1569,8,,0,11.0,0,0.0,2,0,,0,0.0,广东
103,2020-05-04,1588,0,1571,8,,0,9.0,0,0.0,2,0,,0,0.0,广东
104,2020-05-05,1588,0,1575,8,,0,5.0,0,0.0,4,0,,0,0.0,广东
105,2020-05-06,1589,0,1575,8,,0,6.0,1,0.0,0,0,,0,0.0,广东
106,2020-05-07,1589,0,1575,8,,0,6.0,0,0.0,0,0,,0,0.0,广东
107,2020-05-08,1589,0,1576,8,,0,5.0,0,0.0,1,0,,0,0.0,广东
108,2020-05-09,1589,0,1576,8,,0,5.0,0,0.0,0,0,,0,0.0,广东
109,2020-05-10,1589,0,1577,8,,0,4.0,0,0.0,1,0,,0,0.0,广东
110,2020-05-11,1589,0,1578,8,,0,3.0,0,0.0,1,0,,0,0.0,广东
111,2020-05-12,1589,0,1578,8,,0,3.0,0,0.0,0,0,,0,0.0,广东
112,2020-05-13,1589,0,1579,8,,0,2.0,0,0.0,1,0,,0,0.0,广东
113,2020-05-14,1589,0,1579,8,,0,2.0,0,0.0,0,0,,0,0.0,广东
114,2020-05-15,1589,0,1579,8,,0,2.0,0,0.0,0,0,,0,0.0,广东
115,2020-05-16,1590,0,1579,8,,0,3.0,1,0.0,0,0,,0,0.0,广东
116,2020-05-17,1590,0,1579,8,,0,3.0,0,0.0,0,0,,0,0.0,广东
117,2020-05-18,1590,0,1579,8,,0,3.0,0,0.0,0,0,,0,0.0,广东
118,2020-05-19,1590,0,1579,8,,0,3.0,0,0.0,0,0,,0,0.0,广东
119,2020-05-20,1591,0,1579,8,,0,4.0,1,0.0,0,0,,0,0.0,广东
